insert_date,update_date,id,first_name,last_name,email,gender,salary,currency_code
13.09.2023,30.04.2023,1,Rory,Strotone,rstrotone0@guardian.co.uk,Male,3917,ILS
31.03.2023,19.11.2023,2,Krissy,Lumsden,klumsden1@deliciousdays.com,Female,5151,TZS
08.10.2023,20.12.2022,3,Nathaniel,Shepherdson,nshepherdson2@yelp.com,Male,3149,XOF
23.06.2023,08.12.2022,4,Celesta,Seale,cseale3@g.co,Female,1559,NIO
30.03.2023,23.01.2023,5,Charity,Dozdill,cdozdill4@about.com,Female,9597,CZK
25.10.2023,08.02.2023,6,Nydia,Hanalan,nhanalan5@homestead.com,Female,9150,BWP
16.03.2023,03.09.2023,7,Roseann,Vaz,rvaz6@bing.com,Female,8874,RSD
09.07.2023,24.02.2023,8,Jedd,Eastwood,jeastwood7@state.tx.us,Genderfluid,7878,CRC
18.12.2022,22.05.2023,9,Aeriel,Iacobini,aiacobini8@illinois.edu,Female,5944,MXN
30.04.2023,20.07.2023,10,Gaven,Rushmere,grushmere9@sohu.com,Male,7808,UAH
31.03.2023,13.09.2023,11,Charla,Lilie,cliliea@wix.com,Female,4242,CZK
26.03.2023,05.02.2023,12,Omar,Peperell,opeperellb@about.com,Male,9284,CNY
05.10.2023,19.10.2023,13,Peria,Pelos,ppelosc@state.gov,Female,6854,PLN
24.04.2023,26.04.2023,14,Brandy,Ruberry,bruberryd@people.com.cn,Male,9976,RUB
20.12.2022,15.05.2023,15,Felipe,Waliszek,fwaliszeke@earthlink.net,Male,6889,CNY
08.05.2023,04.05.2023,16,Giordano,Butterworth,gbutterworthf@elpais.com,Male,6451,IDR
13.11.2023,28.02.2023,17,Bone,Fairhead,bfairheadg@addthis.com,Male,1747,CNY
20.10.2023,29.11.2023,18,Moises,Gerlts,mgerltsh@homestead.com,Male,1122,HRK
08.10.2023,08.09.2023,19,Rosaline,Velasquez,rvelasquezi@jalbum.net,Female,2852,CZK
18.05.2023,09.06.2023,20,Dannie,Stollard,dstollardj@tamu.edu,Male,8340,BRL
08.08.2023,11.02.2023,21,Shep,Semor,ssemork@wikipedia.org,Male,4677,LKR
02.12.2022,28.12.2022,22,Ernesta,Sanper,esanperl@purevolume.com,Non-binary,4553,PHP
25.06.2023,30.01.2023,23,Dory,Boothman,dboothmanm@prlog.org,Female,4122,CNY
03.10.2023,15.03.2023,24,Elie,Fearnill,efearnilln@examiner.com,Female,3773,IDR
25.04.2023,22.09.2023,25,Mill,Coleshill,mcoleshillo@dropbox.com,Male,7890,RUB
27.06.2023,05.12.2022,26,Lorant,Kingdom,lkingdomp@psu.edu,Agender,4856,MXN
12.11.2023,21.06.2023,27,Cassie,Wimpenny,cwimpennyq@google.co.jp,Female,2695,LKR
